DOIorPMID,Publisher,Country (primary),Cat1,Cat2,Cat3,Email to Editor,RT,EoC,CR,Correction or Retraction Date,Survival,,,
10.1371/journal.pone.0063456,PLOS,Canada,,1,,5/12/2014,,1,,4/14/2022,2894,,,
10.1128/JVI.02047-13,ASM,USA,1,,,12/31/2014,,,1,11/30/2017,1065,,,
10.1186/1471-2180-11-160,BioMedCentral,China,,,1,7/29/2015,,,,,-42214,,,
10.1016/j.lungcan.2009.06.013,Elsevier,China,,,1,10/4/2015,1,,,12/1/2016,424,,,
10.1186/1471-2407-13-368,BioMedCentral,China,1,,,7/29/2015,,,1,3/27/2019,1337,,,
10.1016/j.cyto.2006.07.009,Elsevier,South Korea,,,1,10/4/2015,,,,,-42281,,,
10.1016/j.cyto.2012.05.021,Elsevier,South Korea,,,1,10/4/2015,,,,,-42281,,,
10.1128/IAI.01165-12,ASM,Chile,,1,,10/30/2014,,,1,9/10/2015,315,,,
10.1155/2013/210604,Hindawi,South Korea,1,,,5/11/2014,1,,0,8/30/2020,2303,,,
10.1371/journal.pone.0061960,PLOS,South Korea,,1,0,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0068296,PLOS,Italy,,1,,7/9/2014,,,1,5/8/2015,303,,,
10.1007/s00280-003-0628-6,Springer Nature,USA,1,,,6/28/2015,,,,,-42183,,,
10.1371/journal.pone.0069485,PLOS,USA,,,1,8/1/2014,1,,0,10/2/2018,1523,,,
10.1007/s00280-011-1686-9,Springer Nature,China,,1,,4/12/2015,,,,,-42106,,,
10.1371/journal.pone.0058855,PLOS,China,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0102252,PLOS,Chile,,,1,8/16/2014,,,,,-41867,,,
10.1371/journal.pone.0058845,PLOS,Italy,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0071127,PLOS,UK,,,1,10/7/2015,1,,,6/22/2018,989,,,
10.1371/journal.pone.0066602,PLOS,Belgium,,1,,10/7/2015,,,0,,-42284,,,
10.1371/journal.pone.0094035,PLOS,Chile,,1,,8/23/2014,,,,,-41874,,,
10.1371/journal.pone.0057662,PLOS,Netherlands,,,1,10/7/2015,,,0,,-42284,,,
10.1371/journal.pone.0057973,PLOS,Netherlands,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0096609,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0096053,PLOS,USA,1,,,5/4/2014,,,1,10/23/2019,1998,,,
10.1371/journal.pbio.1001326,PLOS,USA,,1,,10/2/2015,,,1,12/11/2017,801,,,
10.1002/ijc.28032,Wiley,China,,1,,2/21/2015,,,1,9/15/2015,206,,,
10.3109/07357900903095631,Taylor&Francis,China,1,,,10/4/2015,,,,,-42281,,,
